competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
,,,,Warwick Wolves,Portsmouth Destroyers,6,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Royal Holloway Bears,32,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Surrey Stingers,Portsmouth Destroyers,420,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Solent Redhawks,0,3,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Brighton Tsunami,Portsmouth Destroyers,40,20,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Kent Falcons,Portsmouth Destroyers,13,3,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hertfordshire Hurricanes,Portsmouth Destroyers,68,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Kent Falcons,36,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Surrey Stingers,14,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Anglia Ruskin Phantoms,20,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Royal Holloway Vikings,Portsmouth Destroyers,6,40,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Greenwich Mariners,Portsmouth Destroyers,20,16,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Brighton Tsunami,0,3,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Portsmouth Destroyers,45,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Brighton Tsunami,0,8,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Portsmouth Destroyers,21,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Surrey Stingers,Portsmouth Destroyers,10,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Royal Holloway Vikings,15,24,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Reading Knights,12,15,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Brighton Tsunami,Portsmouth Destroyers,0,10,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Portsmouth Destroyers,Southampton Stags,0,69,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Manchester MPs,Hull Sharks,0,41,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hull Sharks,Manchester MPs,1,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Newcastle Scholars,Hull Sharks,0,1,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hull Sharks,Teesside Demons,27,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Teesside Demons,Hull Sharks,0,52,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hull Sharks,Strathclyde Hawks,22,0,,,,,FALSE,day,,,completed,high,True,FALSE,,,,
,,,,Hull Sharks,Cardiff Cobras,0,0,,,,,FALSE,day,,,completed,high,True,FALSE,,,,
,,,,Sheffield Hallam Warriors,Lincoln Colonials,28,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Leicester Longhorns,6,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Sheffield Hallam Warriors,0,1,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sunderland Kings,Lincoln Colonials,22,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Hull Sharks,0,30,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Sheffield Sabres,0,36,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hull Sharks,Lincoln Colonials,0,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lancaster Bombers,Lincoln Colonials,41,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2007-11-04,Lincoln Colonials,Derby Braves,26,18,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2007-11-11,Leicester Longhorns,Lincoln Colonials,28,8,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2007-11-18,Lincoln Colonials,Loughborough Aces,0,26,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2007-11-25,Lincoln Colonials,Nottingham Outlaws,12,41,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2007-12-09,Staffordshire Stallions,Lincoln Colonials,63,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-02-03,Derby Braves,Lincoln Colonials,24,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-02-10,Lincoln Colonials,Leicester Longhorns,16,35,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-02-17,Loughborough Aces,Lincoln Colonials,34,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-11-02,Liverpool Fury,Lincoln Colonials,8,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-11-09,Derby Braves,Lincoln Colonials,34,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-11-23,Lincoln Colonials,Loughborough Aces,8,40,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2008-11-30,Lincoln Colonials,Leicester Longhorns,10,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2009-02-15,Staffordshire Stallions,Lincoln Colonials,73,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2009-02-01,Lincoln Colonials,Nottingham Outlaws,0,20,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2009-03-08,Derby Braves,Lincoln Colonials,1,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,2009-03-15,Lincoln Colonials,UCH Sharks,14,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Lancaster Bombers,45,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Sheffield Hallam Warriors,26,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Leeds Celtics,0,13,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Glasgow Tigers,Newcastle Raiders,12,28,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Essex Blades,Brighton Tsunami,21,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Hertfordshire Hurricanes,25,22,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Bristol Bullets,10,30,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Cardiff Cobras,20,7,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Leeds Celtics,16,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Newcastle Raiders,26,20,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Essex Blades,Bristol Bullets,6,43,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Birmingham Lions,7,13,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,UT Cougars,23,18,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Bristol Bullets,14,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Hallam Warriors,Sheffield Sabres,8,42,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Huddersfield Hawks,71,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lancaster Bombers,Sheffield Sabres,0,22,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Leeds Celtics,Sheffield Sabres,0,7,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Huddersfield Hawks,Sheffield Sabres,0,1,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Lancaster Bombers,48,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Leeds Celtics,0,13,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Hallam Warriors,Sheffield Sabres,10,26,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabress,Nottingham Outlaws,13,2,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Derby Braves,Sheffield Sabres,0,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Leeds Celtics,Sheffield Sabres,0,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Sheffield Hallam Warriors,14,21,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Huddersfield Hawks,Sheffield Sabres,0,46,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,UCH Sharks,30,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lancaster Bombers,Sheffield Sabres,0,30,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Liverpool Fury,10,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Leeds Celtics,0,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,York Centurions,55,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Bangor Muddogs,84,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Nottingham Outlaws,Sheffield Sabres,8,44,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Newcastle Raiders,Sheffield Sabres,32,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Huddersfield Hawks,Sheffield Sabres,0,26,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Hallam Warriors,21,42,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lees Carnegie,Sheffield Sabres,12,33,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Stirling Clansmen,30,7,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Glasgow Tigers,Newcastle Raiders,12,22,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Sheffield Sabres,46,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Staffordshire Stallions,Leeds Celtics,6,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Hertfordshire Hurricanes,21,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Cardiff Cobras,Bath Killer Bees,25,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Surrey Stingers,Southampton Stags,14,63,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Greenwich Mariners,Bristol Bullets,6,22,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Newcastle Raiders,34,2,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Staffordshire Stallions,26,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Southampton Stags,14,19,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Cardiff Cobras,Bristol Bullets,14,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,UT Cougars,14,21,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Cardiff Cobras,Southampton Stags,6,19,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Southampton Stags,8,79,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Newcastle Raiders,15,34,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Nottingham Outlaws,Stirling Clansmen,12,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Staffordshire Stallions,6,60,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Leeds Celtics,12,19,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Greenwich Mariners,Southampton Stags,0,43,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Royal Holloway Vikings,Bath Killer Bees,0,39,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Reading Knights,Hertfordshire Hurricanes,7,51,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UWE Bullets,Birmingham Lions,6,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Nottingham Outlaws,Newcastle Raiders,0,26,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Leeds Celtics,Staffordshire Stallions,0,19,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Southampton Stags,13,35,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Hertfordshire Hurricanes,24,46,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Staffordshire Stallions,Southampton Stags,20,52,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Newcastle Raiders,Birmingham Lions,2,42,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Birmingham Lions,16,27,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Southampton Stags,0,70,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Oxford Cavaliers,Bath Killer Bees,20,18,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Leicester Lemmings,0,32,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Bath Killer Bees,0,1,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
