competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-04-06,Glasgow Tigers,Clyde Valley Blackhawks,32,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-04-06,Yorkshire Rams,Chester Romans,27,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-04-06,Merseyside Nighthawks,Sheffield Giants,23,13,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-04-06,Berkshire Renegades,London Blitz B,7,0,Finsbury Park,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-04-06,Somerset Wyverns,Bournemouth Bobcats,0,26,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-04-06,Gateshead Senators,Darlington Steam,35,46,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-04-06,Wakefield District Raiders,Humber Warhawks,22,48,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-04-06,Leicester Panthers,Leigh Miners,48,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-04-06,Ipswich Cardinals,Norwich Devils,21,6,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-04-06,Cornwall Monarchs,Plymouth Vanguard,12,41,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-04-06,Hereford Stampede,Swindon Storm,14,7,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-04-13,Newcastle Vikings,Nottingham Caesars,10,6,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-04-13,Coventry Phoenix,East Kilbride Pirates,16,18,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-04-13,Bristol Aztecs,Cambridgeshire Cats,46,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-04-13,Hertfordshire Cheetahs,London Blitz,0,51,Finsbury Park,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-04-13,London Warriors,Rushmoor Knights,50,0,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-04-13,Inverclyde Goliaths,Aberdeen Roughnecks,27,28,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-04-13,Yorkshire Rams,Scunthorpe Alphas,21,20,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-04-13,Northants Knights,Birmingham Bulls,31,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-04-13,Staffordshire Surge,Sandwell Steelers,7,23,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-04-13,London Olympians,East Kent Mavericks,7,6,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-04-13,Wembley Stallions,Sussex Thunder,52,0,Haywards Heath Rugby Club,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-04-13,Bristol Apache,Somerset Wyverns,48,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-04-13,Darlington Steam,Humber Warhawks,7,58,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-04-13,Doncaster Mustangs,Wakefield District Raiders,20,43,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
