competition,year,phase,away_phase,date,home_team,away_team,home_score,away_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
bafanl,2026,Premiership North,,2026-04-19,Nottingham Caesars,East Kilbride Pirates,27,26,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,Premiership North,,2026-04-19,Merseyside Nighthawks,Manchester Titans,0,46,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,Premiership South,,2026-04-19,London Blitz,Bristol Aztecs,0,28,Finsbury Park,,Pete Jones,Heath Thomas,FALSE,day,,16:00,completed,high,FALSE,,,,,
bafanl,2026,Premiership South,,2026-04-19,Rushmoor Knights,Wembley Stallions,28,27,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 Scotland,,2026-04-19,Clyde Valley Blackhawks,Glasgow Tigers,0,6,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 North,,2026-04-19,Chester Romans,Newcastle Vikings,19,41,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 Midlands,,2026-04-19,Black Country Steelers,Staffordshire Surge,34,6,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 West,,2026-04-19,South Wales Warriors,Bournemouth Bobcats,26,0,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 Central,,2026-04-19,London Blitz B,Sussex Thunder,52,0,Finsbury Park,,Billy Walker,,FALSE,day,,12:00,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 East,,2026-04-19,East Kent Mavericks,London Olympians,35,0,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 2 North,,2026-04-19,Darlington Steam,Humber Warhawks,14,26,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 2 North,,2026-04-19,Lincolnshire Bombers,Gateshead Senators,30,12,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 2 Midlands,,2026-04-19,Birmingham Bulls,Wakefield District Raiders,26,22,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 2 Midlands,,2026-04-19,Rossendale Bucks,Doncaster Mustangs,41,34,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 2 West,,2026-04-19,Swindon Storm,Cornwall Monarchs,36,0,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 2 East,,2026-04-19,Berkshire Renegades,Ouse Valley Eagles,7,27,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 2 East,,2026-04-19,Norwich Devils,Ipswich Cardinals,0,28,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,Premiership North,,2026-04-26,Coventry Phoenix,Nottingham Caesars,20,3,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,Premiership South,,2026-04-26,London Blitz,Cambridgeshire Cats,27,19,Finsbury Park,,,Heath Thomas,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 Scotland,,2026-04-26,Aberdeen Roughnecks,Inverclyde Goliaths,12,56,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 North,NFC 1 Scotland,2026-04-26,Yorkshire Rams,Glasgow Tigers,56,2,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 Midlands,,2026-04-26,Black Country Steelers,Northants Knights,44,14,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,NFC 1 Midlands,,2026-04-26,Shropshire Revolution,Leicester Panthers,22,16,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 West,,2026-04-26,Solent Thrashers,Bristol Apache,44,37,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 Central,,2026-04-26,London Blitz B,Hertfordshire Cheetahs,6,0,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 East,,2026-04-26,Colchester Gladiators,Essex Tridents,26,7,,,,,FALSE,day,,,completed,high,FALSE,,,,,
bafanl,2026,SFC 1 East,,2026-04-26,East Kent Mavericks,Kent Exiles,44,0,,,,,FALSE,day,,,completed,high,FALSE,,,,,
