competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
,,,,Sheffield Hallam Warriors,Lincoln Colonials,28,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Leicester Longhorns,6,14,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Sheffield Hallam Warriors,0,1,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sunderland Kings,Lincoln Colonials,22,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Hull Sharks,0,30,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lincoln Colonials,Sheffield Sabres,0,36,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Hull Sharks,Lincoln Colonials,0,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Lancaster Bombers,Lincoln Colonials,41,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Lancaster Bombers,45,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Sheffield Hallam Warriors,26,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Sheffield Sabres,Leeds Celtics,0,13,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Glasgow Tigers,Newcastle Raiders,12,28,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Essex Blades,Brighton Tsunami,21,6,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Hertfordshire Hurricanes,25,22,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Bristol Bullets,10,30,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Cardiff Cobras,20,7,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,Leeds Celtics,16,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,UT Cougars,Newcastle Raiders,26,20,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Essex Blades,Bristol Bullets,6,43,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Southampton Stags,Birmingham Lions,7,13,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Loughborough Aces,UT Cougars,23,18,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Birmingham Lions,Bristol Bullets,14,12,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Plymouth Blitz,Bath Killer Bees,8,41,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Cardiff Cobras,Bath Killer Bees,0,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Plymouth Blitz,0,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Hertfordshire Hurricanes,33,27,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Bristol Bullets,40,15,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bristol Bullets,Bath Killer Bees,40,7,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Oxford Cavaliers,Bath Killer Bees,0,33,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
,,,,Bath Killer Bees,Surrey Stingers,1,0,,,,,FALSE,day,,,completed,high,False,FALSE,,,,
