competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase,away_phase,away_parent_phase
BUAFL,2011,Midlands,2012-01-12,Birmingham Lions,Coventry University Jets,61,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,Midlands,2012-01-12,Lincoln Colonials,Leicester Longhorns,22,24,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,North Western,2012-02-12,LJMU Fury,Manchester Tyrants,13,14,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,North Eastern,2012-02-12,Northumbria Mustangs,York Centurions,22,14,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,North Eastern,2012-02-12,Teesside Cougars,Durham Saints,18,20,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,North Western,2012-02-12,Sheffield Hallam Warriors,Lancaster Bombers,24,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,South Eastern 1B,2012-02-12,Kingston Cougars,Reading Knights,20,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Eastern 1B,2012-02-12,Oxford Brookes University,Portsmouth Destroyers,19,20,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Eastern 1B,2012-02-12,Solent Redhawks,Brunel Burners,18,12,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Eastern 1A,2012-02-12,Hertfordshire Hurricanes,LSBU Spartans,55,6,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,Midlands,2012-02-12,Nottingham Gold,Northampton Nemesis,16,33,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,North Eastern,2012-02-12,Leeds Beckett Carnegie,Hull Sharks,6,23,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,South Eastern 1A,2012-02-12,Canterbury CC Chargers,Imperial Immortals,0,0,,BUCS official record: Void,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-02-12,KCL Regents,Anglia Ruskin Siege,0,0,,BUCS official record: Void,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-02-12,Kent Falcons,Westminster Dragons,34,18,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Western,2012-02-12,Cardiff Cobras,UWE Bullets,0,24,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,South Western,2012-02-12,Swansea Titans,Bath Killer Bees,0,20,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,South Western,2012-02-12,Bristol Barracuda,Plymouth Blitz,15,52,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,Midlands,2012-03-11,Birmingham Lions,Nottingham Gold,71,6,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,South Eastern 1B,2012-04-11,Brunel Burners,Oxford Lancers,40,6,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,Midlands,2012-04-11,Nottingham Trent Renegades,Coventry University Jets,20,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,North Eastern,2012-04-11,Hull Sharks,Newcastle Raiders,12,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,North Western,2012-04-11,Staffordshire Stallions,Derby Braves,12,42,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,North Western,2012-04-11,Manchester Tyrants,UCLan Rams,0,1,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,Scottish,2012-04-11,Edinburgh Napier Knights,UWS Pyros,13,14,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Scottish,
BUAFL,2011,Scottish,2012-04-11,Stirling Clansmen,Glasgow Tigers,100,7,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Scottish,
BUAFL,2011,South Eastern 1A,2012-04-11,Westminster Dragons,UEA Pirates,6,27,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Western,2012-04-11,UWE Bullets,Bath Spa Bulldogs,34,12,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,North Western,2012-04-11,Sheffield Sabres,Huddersfield Hawks,54,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,North Eastern,2012-04-11,Sunderland Spartans,Northumbria Mustangs,12,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,Midlands,2012-04-11,DMU Lions,Loughborough Aces,0,52,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,North Eastern,2012-04-11,Leeds Gryphons,Bradford Bears,8,14,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Eastern,
BUAFL,2011,North Western,2012-04-11,Lancaster Bombers,MMU Eagles,2,12,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,North Western,
BUAFL,2011,South Eastern 1A,2012-04-11,KCL Regents,Canterbury CC Chargers,18,19,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-04-11,Kent Falcons,Greenwich Mariners,57,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1B,2012-04-11,Kingston Cougars,BNU Buccaneers,36,22,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Eastern 1B,2012-04-11,Reading Knights,Oxford Brookes University,0,0,,BUCS official record: Void,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Eastern 1B,2012-04-11,Royal Holloway Bears,Southampton Stags,0,20,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1B,
BUAFL,2011,South Western,2012-04-11,Tarannau Aberystwyth,Bath Killer Bees,6,44,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,South Western,2012-04-11,Cardiff Cobras,Worcester Royals,0,0,,BUCS official record: Void,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,South Western,2012-04-11,Plymouth Blitz,Gloucestershire Gladiators,24,20,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Western,
BUAFL,2011,Midlands,2012-08-12,Birmingham Lions,Warwick Wolves,48,0,,BUCS official record,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,Midlands,
BUAFL,2011,South Eastern 1A,2012-03-04,Essex Blades,Brighton Tsunami,0,15,Falmer Campus,Brighton Tsunami historical records,,James Ormrod,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-02-26,Brighton Tsunami,LSBU Spartans,11,0,,Brighton Tsunami historical records,James Ormrod,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-02-19,Brighton Tsunami,Hertfordshire Hurricanes,7,54,,Brighton Tsunami historical records,James Ormrod,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2012-01-29,Brighton Tsunami,Westminster Dragons,35,0,,Brighton Tsunami historical records,James Ormrod,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2011-12-11,Greenwich Mariners,Brighton Tsunami,19,0,Falmer Campus,Brighton Tsunami historical records,,James Ormrod,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2011-11-20,Kent Falcons,Brighton Tsunami,13,8,Falmer Campus,Brighton Tsunami historical records,,James Ormrod,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2011-11-13,Canterbury CC Chargers,Brighton Tsunami,12,21,Falmer Campus,Brighton Tsunami historical records,,James Ormrod,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
BUAFL,2011,South Eastern 1A,2011-11-06,Brighton Tsunami,UEA Pirates,18,24,,Quadruple Overtime. 6-6 at the end of regulation.,James Ormrod,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Eastern 1A,
