competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase,away_phase
BUAFL,2012,North Eastern Conference,2012-09-12,Newcastle Raiders,Bradford Bears,6,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Big North Western Conference,2012-09-12,Lancaster Bombers,Derby Braves,36,68,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Midlands Athletics Conference,2012-09-12,Northampton Nemesis,Loughborough Aces,6,37,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,North Eastern Conference,2012-09-12,Durham Saints,Hull Sharks,0,0,,BUCS record: Void,,,FALSE,day,,13:00,awarded,high,FALSE,FALSE,,,,,
BUAFL,2012,North Eastern Conference,2012-09-12,York Centurions,Leeds Met Carnegie,6,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Big North Western Conference,2012-09-12,Staffordshire Stallions,Manchester Tyrants,0,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Big North Western Conference,2012-09-12,Huddersfield Hawks,LJMU Fury,32,34,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Big North Western Conference,2012-09-12,Sheffield Sabres,Bangor MudDogs,39,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Oyster Card Conference,2012-09-12,Anglia Ruskin Rhinos,Greenwich Mariners,32,18,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Central Conference
BUAFL,2012,Oyster Card Conference,2012-09-12,UEA Pirates,Imperial Immortals,25,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Central Conference
BUAFL,2012,Oyster Card Conference,2012-09-12,Solent Redhawks,Kingston Cougars,6,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,South Western Athletics Conference,2012-09-12,Tarannau Aberystwyth,Cardiff Cobras,2,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,North Eastern Conference,2012-09-12,Sunderland Spartans,Teesside Cougars,26,24,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Oyster Card Conference,2012-09-12,Hertfordshire Hurricanes,KCL Regents,48,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,South Central Conference
BUAFL,2012,Midlands Athletics Conference,2012-09-12,DMU Lions,Nottingham Trent Renegades,0,49,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Midlands Athletics Conference,2012-09-12,Nottingham Gold,Leicester Longhorns,24,16,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,North Eastern Conference,2012-09-12,Leeds Gryphons,Northumbria Mustangs,32,8,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Big North Western Conference,2012-09-12,Sheffield Hallam Warriors,MMU Eagles,0,1,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Saltire Conference,2012-09-12,Edinburgh Predators,Edinburgh Napier Knights,0,0,,BUCS record: Void,,,FALSE,day,,13:00,awarded,high,FALSE,FALSE,,,,,
BUAFL,2012,South Central Conference,2012-09-12,Kent Falcons,Essex Blades,0,0,,BUCS record: Void,,,FALSE,day,,13:00,awarded,high,FALSE,FALSE,,,,,
BUAFL,2012,Oyster Card Conference,2012-09-12,Portsmouth Destroyers,Surrey Stingers,1,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Oyster Card Conference,2012-09-12,Southampton Stags,Oxford Brookes University,41,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,South Western Athletics Conference,2012-09-12,Swansea Titans,Bath Spa Bulldogs,54,16,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,South Western Athletics Conference,2012-09-12,Bath Killer Bees,UWE Bullets,21,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,South Western Athletics Conference,2012-09-12,Exeter Demons,Worcester Royals,67,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
BUAFL,2012,Midlands Athletics Conference,2012-10-11,Lincoln Colonials,Birmingham Lions,0,83,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,,
