competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2018,Northern Conference Cup,2018-05-12,Newcastle Raiders,Coventry University Jets,38,40,,date in may!?,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-03,Sunderland Spartans,DMU Lions,20,21,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Championship,2019-03-03,Hertfordshire Hurricanes,Nottingham Gold,28,27,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Surrey Stingers,Southampton Stags,7,43,,"Surrey went 1-4, doubt they made the playoffs",,,FALSE,day,,12:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-03,Stirling Clansmen,UWE Bullets,0,6,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Bath Killer Bees,Brunel Burners,7,6,,"Bath went 2-3, doubt they made the playoffs",,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-03,UCLan Rams,Coventry University Jets,6,48,,Yes,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Nottingham Trent Renegades,Newcastle Raiders,27,13,,Yes,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Southern Conference Cup,2019-03-03,Cambridge Pythons,Royal Holloway Bears,16,22,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Championship,2019-03-03,Durham Saints,Swansea Titans,19,20,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,QMBL Vipers,UEA Pirates,6,14,,Yes,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Southern Conference Cup,2019-03-03,Sussex Saxons,Essex Blades,0,10,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Southern Conference Cup,2019-03-03,UEL Phoenix,Worcester Royals,6,26,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Edinburgh Napier Knights,Loughborough Students,0,27,,Neither team were in later rounds so must be wrong,,,FALSE,day,,13:30,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-03,Staffordshire Stallions,Edinburgh Predators,13,6,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Northern Conference Cup,2019-03-03,HWU Wolverines,Leeds Gryphons,0,45,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Northumbria Mustangs,Sheffield Hallam Warriors,0,21,,Neither team were in later rounds so must be wrong,,,FALSE,day,,14:30,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-03,Birmingham Lions,Leeds Beckett Carnegie,0,19,,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,National Trophy,2019-03-03,Exeter Demons,Kent Falcons,24,14,,Yes,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Northern Conference Cup,2019-03-03,MMU Eagles,Liverpool Raptors,0,33,,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2018,Southern Conference Cup,2019-03-10,Essex Blades,Southampton Stags,15,34,,Essex had already played 3 playoffs games.,,,FALSE,day,,14:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-10,Derby Braves,Birmingham Lions,16,9,,Neither team made the next round so must be wrong.,,,FALSE,day,,15:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-11,Portsmouth Destroyers,Durham Saints,0,1,,Neither team made the next round so must be wrong.,,,FALSE,day,,09:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-11,Swansea Titans,Stirling Clansmen,14,40,,Swansea were in semi final so must have won. Doesn't fit rest of playoff picture,,,FALSE,day,,12:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-11,Sheffield Sabres,Edinburgh Napier Knights,0,0,,Neither team were in later rounds so must be wrong,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-11,UWE Bullets,Kingston Cougars,26,22,,UWE are in premier so this must be wrong,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-11,Cardiff Cobras,Kingston Cougars,0,0,,Neither team were in later rounds so must be wrong,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Southern Conference Cup,2019-03-11,UEL Phoenix,Oxford Brookes University,0,39,,OBU went 2-3.. Doubt they made the playoffs,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-11,Nottingham Trent Renegades,Nottingham Gold,13,29,,Nott Gold are in premier so this must be wrong,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-11,Teesside Cougars,Newcastle Raiders,0,42,,doesn't fit the rest of the games winners v losers,,,FALSE,day,,14:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Championship,2019-03-11,Leeds Beckett Carnegie,Hertfordshire Hurricanes,34,19,,Herts were in final so must have won. Doesn't fit rest of playoff picture,,,FALSE,day,,14:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,National Trophy,2019-03-11,UEA Pirates,Kent Falcons,6,7,,UEA made the final so this must be wrong.,,,FALSE,day,,14:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-11,Edinburgh Predators,Manchester Tyrants,0,15,,doesn't fit the rest of the games winners v losers,,,FALSE,day,,14:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-11,Coventry University Jets,Liverpool Raptors,54,19,,doesn't fit the rest of the games winners v losers,,,FALSE,day,,14:30,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Southern Conference Cup,2019-03-11,KCL Regents,QMBL Vipers,40,12,,QMBL in Division 1,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2018,Northern Conference Cup,2019-03-17,Liverpool Raptors,DMU Lions,21,17,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2018,National Trophy,2019-03-17,Nottingham Trent Renegades,Coventry University Jets,20,25,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2018,National Championship,2019-03-17,Hertfordshire Hurricanes,Swansea Titans,27,22,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2018,Southern Conference Cup,2019-03-17,Bournemouth University Bobcats,Essex Blades,0,12,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2018,National Championship,2019-03-17,Leeds Beckett Carnegie,UWE Bullets,45,34,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
