competition_name,parent_phase,phase,year,team,wins,losses,ties,points_for,points_against,head_coach
BUAFL,,Border Conference,2010,Glasgow Tigers,7,1,0,317,108,
BUAFL,,Border Conference,2010,Newcastle Raiders,7,1,0,253,117,
BUAFL,,Border Conference,2010,Northumbria Mustangs,6,2,0,162,175,
BUAFL,,Border Conference,2010,Edinburgh Predators,5,3,0,163,118,
BUAFL,,Border Conference,2010,Edinburgh Napier Knights,4,3,1,185,94,
BUAFL,,Border Conference,2010,Stirling Clansmen,4,4,0,116,120,
BUAFL,,Border Conference,2010,Sunderland Spartans,1,5,0,86,128,
BUAFL,,Border Conference,2010,Teesside Cougars,1,6,0,79,160,
BUAFL,,Border Conference,2010,Durham Saints,0,6,1,27,141,
BUAFL,,Border Conference,2010,UWS Pyros,0,7,0,16,258,
BUAFL,,Midland Conference,2010,Loughborough Aces,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Birmingham Lions,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Derby Braves,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Nottingham Trent Renegades,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Nottingham Outlaws,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Warwick Wolves,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Staffordshire Stallions,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Coventry University Jets,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Leicester Longhorns,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Lincoln Colonials,0,0,0,0,0,
BUAFL,,Midland Conference,2010,Worcester Royals,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Sheffield Hallam Warriors,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Lancaster Bombers,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Bangor MudDogs,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Huddersfield Hawks,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Leeds Met Carnegie,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Leeds Celtics,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Manchester Tyrants,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Sheffield Sabres,0,0,0,0,0,
BUAFL,,Northern Conference,2010,Hull Sharks,0,0,0,0,0,
BUAFL,,Northern Conference,2010,York Centurions,0,0,0,0,0,
BUAFL,,South Eastern Conference,2010,Hertfordshire Hurricanes,1,0,0,57,0,
BUAFL,,South Eastern Conference,2010,Kent Falcons,1,0,0,6,0,
BUAFL,,South Eastern Conference,2010,Brighton Tsunami,3,5,0,111,186,Martin Harrison
BUAFL,,South Eastern Conference,2010,UEA Pirates,0,0,0,0,0,
BUAFL,,South Eastern Conference,2010,LSBU Spartans,0,0,0,0,0,
BUAFL,,South Eastern Conference,2010,Essex Blades,0,0,0,0,0,
BUAFL,,South Eastern Conference,2010,KCL Regents,0,1,0,22,28,
BUAFL,,South Eastern Conference,2010,Canterbury CC Chargers,0,1,0,14,26,
BUAFL,,South Eastern Conference,2010,Greenwich Mariners,0,1,0,6,27,
BUAFL,,South Western Conference,2010,UWE Bullets,1,0,0,23,6,
BUAFL,,South Western Conference,2010,Bristol Barracuda,1,0,0,20,14,
BUAFL,,South Western Conference,2010,Cardiff Cobras,1,0,0,12,6,
BUAFL,,South Western Conference,2010,Bath Killer Bees,3,3,1,117,55,
BUAFL,,South Western Conference,2010,Plymouth Blitz,0,0,1,0,0,
BUAFL,,South Western Conference,2010,Tarannau Aberystwyth,0,0,0,0,0,
BUAFL,,South Western Conference,2010,Gloucestershire Gladiators,0,0,0,0,0,
BUAFL,,South Western Conference,2010,Exeter Demons,0,1,0,0,6,
BUAFL,,South Western Conference,2010,Swansea Titans,0,1,0,0,42,
BUAFL,,South Western Conference,2010,Bath Spa Bulldogs,0,1,0,0,43,
BUAFL,,Thames Valley Conference,2010,Portsmouth Destroyers,1,0,0,32,0,
BUAFL,,Thames Valley Conference,2010,Southampton Stags,1,0,0,27,13,
BUAFL,,Thames Valley Conference,2010,Solent Redhawks,1,0,0,22,17,
BUAFL,,Thames Valley Conference,2010,BNU Buccaneers,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Imperial Immortals,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Brunel Burners,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Reading Knights,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Royal Holloway Bears,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Oxford Brookes University,0,0,0,0,0,
BUAFL,,Thames Valley Conference,2010,Surrey Stingers,0,0,0,0,0,
