competition_name,parent_phase,phase,year,team,wins,losses,ties,points_for,points_against
BUAFL,,Saltire Conference,2013,Stirling Clansmen,8,0,0,622,13
BUAFL,,Saltire Conference,2013,Glasgow Tigers,5,3,0,176,264
BUAFL,,Saltire Conference,2013,Edinburgh Mavericks,4,4,0,130,201
BUAFL,,Saltire Conference,2013,Edinburgh Napier Knights,3,5,0,125,244
BUAFL,,Saltire Conference,2013,UWS Pyros,0,8,0,42,373
BUAFL,,Big North Western Conference,2013,Derby Braves,7,1,0,320,42
BUAFL,,Big North Western Conference,2013,Sheffield Hallam Warriors,7,1,0,274,96
BUAFL,,Big North Western Conference,2013,Sheffield Sabres,7,1,0,197,61
BUAFL,,Big North Western Conference,2013,LJMU Fury,6,2,0,246,129
BUAFL,,Big North Western Conference,2013,UCLan Rams,5,3,0,254,90
BUAFL,,Big North Western Conference,2013,Lancaster Bombers,3,5,0,174,294
BUAFL,,Big North Western Conference,2013,Bangor Llewod,3,5,0,140,208
BUAFL,,Big North Western Conference,2013,MMU Eagles,3,5,0,121,193
BUAFL,,Big North Western Conference,2013,Staffordshire Stallions,2,6,0,140,229
BUAFL,,Big North Western Conference,2013,Manchester Tyrants,0,7,0,61,200
BUAFL,,Big North Western Conference,2013,Keele Crusaders,0,7,0,6,386
BUAFL,,North Eastern Conference,2013,Durham Saints,7,0,0,316,41
BUAFL,,North Eastern Conference,2013,Sunderland Spartans,7,1,0,229,116
BUAFL,,North Eastern Conference,2013,Hull Sharks,6,2,0,155,87
BUAFL,,North Eastern Conference,2013,Leeds Beckett Carnegie,6,2,0,135,59
BUAFL,,North Eastern Conference,2013,Newcastle Raiders,5,3,0,140,134
BUAFL,,North Eastern Conference,2013,York Centurions,4,4,0,140,215
BUAFL,,North Eastern Conference,2013,Northumbria Mustangs,3,5,0,104,114
BUAFL,,North Eastern Conference,2013,Huddersfield Hawks,2,5,0,146,144
BUAFL,,North Eastern Conference,2013,Leeds Gryphons,2,6,0,100,162
BUAFL,,North Eastern Conference,2013,Bradford Bears,1,7,0,42,187
BUAFL,,North Eastern Conference,2013,Teesside Cougars,0,8,0,69,312
BUAFL,,Midlands Athletics Conference,2013,Birmingham Lions,8,0,0,206,21
BUAFL,,Midlands Athletics Conference,2013,Loughborough Students,7,1,0,340,75
BUAFL,,Midlands Athletics Conference,2013,Nottingham Trent Renegades,6,2,0,214,117
BUAFL,,Midlands Athletics Conference,2013,Warwick Wolves,4,4,0,193,145
BUAFL,,Midlands Athletics Conference,2013,Nottingham Gold,4,4,0,122,99
BUAFL,,Midlands Athletics Conference,2013,Coventry University Jets,3,4,0,149,190
BUAFL,,Midlands Athletics Conference,2013,DMU Lions,3,5,0,87,176
BUAFL,,Midlands Athletics Conference,2013,Worcester Royals,3,5,0,77,213
BUAFL,,Midlands Athletics Conference,2013,Lincoln Colonials,3,4,0,52,113
BUAFL,,Midlands Athletics Conference,2013,Wolverhampton Wildcats,1,6,0,58,153
