competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2016,Division 1 Northern,2016-10-02,Newcastle Raiders,Lancaster Bombers,1,0,,"[Anomaly] HomePrimary=2A Borders, AwayPrimary=1A North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-10-02,Surrey Stingers,Royal Holloway Bears,0,0,,"[Anomaly] HomePrimary=1A South East, AwayPrimary=1A South",,,FALSE,day,,,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-11-13,Reading Knights,Brighton Panthers,7,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-11-13,Portsmouth Destroyers,Surrey Stingers,14,13,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-11-20,Sussex Saxons,Reading Knights,20,6,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-11-26,Portsmouth Destroyers,Reading Knights,21,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-12-11,Reading Knights,Surrey Stingers,13,20,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2016-12-11,Sussex Saxons,Brighton Panthers,20,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-01-29,Surrey Stingers,Reading Knights,21,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-01-29,Brighton Panthers,Portsmouth Destroyers,0,10,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-05,Sussex Saxons,Surrey Stingers,6,18,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-05,Reading Knights,Portsmouth Destroyers,6,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Northern,2017-02-12,Leeds Gryphons,UCLan Rams,7,36,,"[Anomaly] HomePrimary=1A North West, AwayPrimary=2A North",,,FALSE,day,,13:30,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-19,Portsmouth Destroyers,Sussex Saxons,21,14,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-19,Brighton Panthers,Reading Knights,6,15,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-26,Reading Knights,Sussex Saxons,26,0,,,,,FALSE,day,,11:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,2017-02-26,Surrey Stingers,Brighton Panthers,26,12,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Midlands,2017-03-12,Staffordshire Stallions,Nottingham Trent Renegades,6,28,,"[Anomaly] HomePrimary=Premier North, AwayPrimary=1A Midlands",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 North Western,2017-03-12,Sheffield Hallam Warriors,Sheffield Sabres,40,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2016,Division 2 Borders,2017-03-12,Newcastle Raiders,Lancaster Bombers,56,6,,"[Anomaly] HomePrimary=2A Borders, AwayPrimary=1A North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 2 Northern,2017-03-12,Bangor MudDogs,Tarannau Aberystwyth,42,0,,"[Anomaly] HomePrimary=2A South West, AwayPrimary=2A North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 2 Southern,2017-03-12,BNU Buccaneers,Chichester Spitfires,0,40,,,,,FALSE,day,,13:15,completed,medium,FALSE,FALSE,,,,
BUAFL,2016,Division 1 South Western,2017-03-12,UWE Bullets,Plymouth Blitz,16,28,,"[Anomaly] HomePrimary=2A South West, AwayPrimary=1A South West",,,FALSE,day,,13:30,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Northern,2017-03-12,Edinburgh Napier Knights,Sunderland Spartans,35,0,,"[Anomaly] HomePrimary=1A North, AwayPrimary=2A Borders",,,FALSE,day,,14:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Midlands,,Warwick Wolves,Nottingham Trent Renegades,0,45,,"[Anomaly] HomePrimary=Premier North, AwayPrimary=1A Midlands",,,FALSE,unknown,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Southern,,Brunel Burners,Kingston Cougars,12,18,,"[Anomaly] HomePrimary=Premier South, AwayPrimary=2A South",,,FALSE,unknown,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 South Eastern,,Canterbury CC Chargers,UEA Pirates,0,31,,"[Anomaly] HomePrimary=1A South East, AwayPrimary=2A South East",,,FALSE,unknown,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 2 Southern,,City Wolfpack,UCL Emperors,8,6,,,,,FALSE,unknown,,13:00,completed,medium,FALSE,FALSE,,,,
BUAFL,2016,Division 1 South Western,,Solent Redhawks,Plymouth Blitz,26,40,,"[Anomaly] HomePrimary=2A South West, AwayPrimary=1A South West",,,FALSE,unknown,,13:30,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 2 Northern,,Manchester Tyrants,Bradford Bears,44,0,,"[Anomaly] HomePrimary=2A North, AwayPrimary=1A North West",,,FALSE,unknown,,14:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2016,Division 1 Northern,,Leeds Gryphons,Sheffield Hallam Warriors,7,46,,"[Anomaly] HomePrimary=1A North West, AwayPrimary=2A North",,,FALSE,unknown,,15:00,anomaly,high,FALSE,FALSE,,,,
