competition,year,phase,date,time,date_precision,date_display,away_team,home_team,away_score,home_score,status,venue,notes,away_coach,home_coach,is_double_header,is_playoff,confidence_level
buafl,2018,Premiership South,2018-12-02,,day,,Portsmouth Destroyers,Swansea Titans,0,10,completed,,,,,,,high
buafl,2018,1A North,2018-12-02,,day,,Glasgow Tigers,Hull Sharks,0,21,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-12-02,,day,,LJMU Fury,Sheffield Hallam Warriors,10,36,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-12-02,,day,,UCLan Rams,Sheffield Sabres,13,20,completed,,,,,,,high
buafl,2018,1A Midlands,2018-12-02,,day,,Warwick Wolves,Leicester Longhorns,22,6,completed,,,,,,,high
buafl,2018,1A Midlands,2018-12-02,,day,,Nottingham Trent Renegades,Loughborough Students,0,18,completed,,,,,,,high
buafl,2018,1A South West,2018-12-02,,day,,Plymouth Blitz,Bath Killer Bees,0,39,completed,,,,,,,high
buafl,2018,1A South,2018-12-02,,day,,Brunel Burners,Kingston Cougars,40,0,completed,,,,,,,high
buafl,2018,1A South East,2018-12-02,,day,,QMBL Vipers,Canterbury Chargers,34,14,completed,,,,,,,high
buafl,2018,2A Borders,2018-12-02,,day,,UWS Pyros,Sunderland Spartans,0,34,completed,,,,,,,high
buafl,2018,2A Borders,2018-12-02,,day,,Edinburgh Predators,HWU Wolverines,25,0,completed,,,,,,,high
buafl,2018,2A North,2018-12-02,,day,,Liverpool Raptors,Edge Hill Vikings,27,7,completed,,,,,,,high
buafl,2018,2A Midlands,2018-12-02,,day,,Keele Crusaders,Staffordshire Stallions,0,40,completed,,,,,,,high
buafl,2018,2A Midlands,2018-12-02,,day,,DMU Falcons,Chester Legion,27,4,completed,,,,,,,high
buafl,2018,2A Midlands,2018-12-02,,day,,Lincoln Colonials,MMU Eagles,0,20,completed,,,,,,,high
buafl,2018,2A South West,2018-12-02,,day,,Bath Spa Bulldogs,Bristol Barracuda,0,1,awarded,,,,,,,high
buafl,2018,2A South West,2018-12-02,,day,,OBU Panthers,Bournemouth Bobcats,0,27,completed,,,,,,,high
buafl,2018,2A South,2018-12-02,,day,,KCL Regents,Royal Holloway Bears,14,2,completed,,,,,,,high
buafl,2018,2A South,2018-12-02,,day,,City Wolfpack,UCL Emperors,0,16,completed,,,,,,,high
buafl,2018,2A South East,2018-12-02,,day,,Essex Blades,Anglia Ruskin Rhinos,33,2,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-12-08,,day,,Sheffield Hallam Warriors,UCLan Rams,14,7,completed,,,,,,,high
buafl,2018,1A South,2018-11-24,,day,,Surrey Stingers,Reading Knights,17,0,completed,,,,,,,high
buafl,2018,2A North,2018-12-08,,day,,Tarannau Aberystwyth,Leeds Gryphons,0,65,completed,,,,,,,high
buafl,2018,Premiership North,2018-12-09,,day,,Nottingham Gold,Durham Saints,14,12,completed,,,,,,,high
buafl,2018,Premiership North,2018-12-09,,day,,Leeds Beckett Carnegie,Stirling Clansmen,25,6,completed,,,,,,,high
buafl,2018,Premiership South,2018-12-16,,day,,Birmingham Lions,UWE Bullets,6,22,completed,,,,,,,high
buafl,2018,Premiership South,2018-12-09,,day,,Portsmouth Destroyers,Hertfordshire Hurricanes,7,34,completed,,,,,,,high
buafl,2018,1A North,2018-12-09,,day,,Hull Sharks,Newcastle Raiders,6,22,completed,,,,,,,high
buafl,2018,1A North,2018-12-09,,day,,Northumbria Mustangs,Edinburgh Napier Knights,9,6,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-12-09,,day,,Manchester Tyrants,Sheffield Sabres,6,52,completed,,,,,,,high
buafl,2018,1A Midlands,2018-12-09,,day,,Coventry Jets,Loughborough Students,8,27,completed,,,,,,,high
buafl,2018,1A Midlands,2018-12-09,,day,,Leicester Longhorns,Nottingham Trent Renegades,20,35,completed,,,,,,,high
buafl,2018,1A South West,2018-12-09,,day,,Cardiff Cobras,Plymouth Blitz,27,42,completed,,,,,,,high
buafl,2018,1A South East,2018-12-09,,day,,Canterbury Chargers,UEA Pirates,0,37,completed,,,,,,,high
buafl,2018,1A South East,2018-12-09,,day,,Kent Falcons,Imperial Immortals,46,4,completed,,,,,,,high
buafl,2018,2A Borders,2018-12-09,,day,,YSJ Jaguars,Teesside Cougars,20,23,completed,,,,,,,high
buafl,2018,2A North,2018-12-09,,day,,Lancaster Bombers,Liverpool Raptors,0,23,completed,,,,,,,high
buafl,2018,2A North,2018-12-09,,day,,Edge Hill Vikings,Bradford Bears,26,22,completed,,,,,,,high
buafl,2018,2A Midlands,2018-12-09,,day,,DMU Falcons,Keele Crusaders,10,9,completed,,,,,,,high
buafl,2018,2A South West,2018-12-09,,day,,Bournemouth Bobcats,Gloucestershire Gladiators,1,0,awarded,,,,,,,high
buafl,2018,2A South West,2018-12-09,,day,,Worcester Royals,Solent Redhawks,19,14,completed,,,,,,,high
buafl,2018,2A South,2018-12-09,,day,,UCL Emperors,Sussex Saxons,16,0,completed,,,,,,,high
buafl,2018,1A South West,2018-12-16,,day,,Bath Killer Bees,Exeter Demons,26,34,completed,,,,,,,high
