competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2022,Premier South,2022-10-23,Birmingham Lions,UEA Pirates,23,0,UEA Colney Lane Playing Fields,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Premier South,2022-10-23,UWE Bullets,Cardiff Cobras,90,0,Cardiff University Sports Fields (Grass),,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Premier North,2022-10-23,Durham Saints,Nottingham Gold,0,37,3G,,,,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Premier North,2022-10-23,Stirling Clansmen,Leeds Beckett Carnegie,0,51,West Park Rugby Club,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Premier South,2022-10-29,Birmingham Lions,SGS Pride,0,56,SGS WISE Campus,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 1 Northern,2022-10-30,Manchester Tyrants,MMU Eagles,,,TBD,,,,FALSE,day,,,scheduled,high,FALSE,FALSE,,,,
BUAFL,2022,Division 2 Northern,2022-10-30,Bangor MudDogs,Liverpool Raptors,0,67,JMO Sports Park,,,,FALSE,day,,10:30,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Premier South,2022-10-30,Cardiff Cobras,UEA Pirates,12,19,UEA Colney Lane Playing Fields,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 1 Midlands,2022-10-30,Warwick Wolves,Loughborough Students,3,16,Holywell Rubber Crumb,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 1 Southern,2022-10-30,Portsmouth Destroyers,Royal Holloway Bears,6,14,Royal Holloway Grass Pitches - Eastfields,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 2 South Western,2022-10-30,Gloucestershire Gladiators,Bath Spa Bulldogs,30,0,Newton Park,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 1 South Western,2022-10-30,Exeter Demons,Bournemouth University Bobcats,6,24,Bournemouth University Sports Campus,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2022,Division 1 South Eastern,2022-10-30,Kent Falcons,Brunel Burners,7,43,Site 5,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
