competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
,2025,Division 1 South Eastern,15/02/2026,UCL Emperors,Brighton Panthers,8,24,Falmer Campus,,,Ethan Butcher,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,08/02/2026,Kingston Cougars,Brighton Panthers,0,24,Falmer Campus,,,Ethan Butcher,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,01/02/2026,KCL Regents,Brighton Panthers,14,0,Falmer Campus,,,Ethan Butcher,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,07/12/2025,Brighton Panthers,KCL Regents,8,13,,,Ethan Butcher,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,23/11/2025,Brighton Panthers,Kent Falcons,0,24,The Pavillion,,Ethan Butcher,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,16/11/2025,Brighton Panthers,Kingston Cougars,8,0,,,Ethan Butcher,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,09/11/2025,Kent Falcons,Brighton Panthers,0,12,Falmer Campus,,,Ethan Butcher,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2025,Division 1 South Eastern,02/11/2025,UCL Emperors,Brighton Panthers,0,43,Falmer Campus,,,Ethan Butcher,FALSE,day,,15:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,09/02/2025,Brighton Panthers,Brunel Burners,8,45,,,Georgia Teague,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,02/02/2025,Oxford Lancers,Brighton Panthers,30,0,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,19/01/2025,Reading Knights,Brighton Panthers,0,42,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,08/12/2024,Hertfordshire Hurricanes,Brighton Panthers,18,14,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,01/12/2024,Brunel Burners,Brighton Panthers,11,8,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,03/11/2024,Brighton Panthers,Hertfordshire Hurricanes,0,43,,,Georgia Teague,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,27/10/2024,Brighton Panthers,Reading Knights,6,2,,,Georgia Teague,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
