competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
,1987,Playoffs,,Cardiff Cobras,Stirling Clansmen,22,6,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1987,Playoffs,,Hull Sharks,Strathclyde Hawks,22,0,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1987,Playoffs,1988-03-13,Cardiff Cobras,Hull Sharks,0,0,Allam Sport Centre,Triple Overtime. Both teams named winner. Tom Bell game MVP.,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl II,Final,
,1986,Playoffs,1987-03-15,Hull Sharks,Newcastle Scholars,23,6,Teeside Playing Fields,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl,Final,
,1988,Playoffs,,Teesside Demons,Hull Sharks,0,34,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,1st Round,
,1988,Playoffs,,Loughborough Aces,Hull Sharks,7,21,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1988,Playoffs,,Strathclyde Hawks,Cardiff Cobras,3,13,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1988,Playoffs,,Hull Sharks,Cardiff Cobras,7,6,Saffron Lane Stadium,Matt Loader game MVP.,,,FALSE,unknown,,,completed,high,TRUE,FALSE,title,College Bowl III,Final,
,1989,Playoffs,,Strathclyde Hawks,Birmingham Lions,0,34,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1989,Playoffs,,Warwick Wolves,Teesside Demons,14,16,,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,,,Semi-Final,
,1989,Playoffs,,Teesside Demons,Birmingham Lions,21,20,Saffron Lane Stadium,,,,FALSE,unknown,,,completed,high,TRUE,FALSE,title,College Bowl IV,Final,
,1990,Playoffs,1991-03-17,Teesside Demons,UEA Pirates,19,0,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl V,Final,
,1991,Playoffs,1992-03-08,Southampton Stags,Glasgow Tigers,53,0,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl VI,Final,
,1992,Playoffs,1993-03-21,Southampton Stags,Leeds Celtics,19,0,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl VII,Final,
,1993,Playoffs,1994-03-13,Glasgow Tigers,Leicester Lemmings,26,0,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl VIII,Final,
,1994,Playoffs,1995-03-12,Loughborough Aces,Cambridge Pythons,23,20,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl IX,Final,
,1995,Playoffs,1996-03-17,Leeds Celtics,Cardiff Cobras,14,8,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl X,Final,
,1996,Playoffs,,Loughborough Aces,Tarannau Aberystwyth,28,19,Saffron Lane Stadium,,,,FALSE,month,March 1997,,completed,high,TRUE,FALSE,title,College Bowl XI,Final,
,1997,Playoffs,1998-03-15,Hertfordshire Hurricanes,Leeds Celtics,16,7,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XII,Final,
,1998,Playoffs,1999-03-21,Hertfordshire Hurricanes,Loughborough Aces,7,3,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XIII,Final,
,1999,Playoffs,2000-03-26,Hertfordshire Hurricanes,Leicester Lemmings,20,6,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XIV,Final,
,2000,Playoffs,2001-03-25,Oxford Cavaliers,Loughborough Aces,26,23,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XV,Final,
,2001,Playoffs,2002-03-17,Loughborough Aces,Oxford Cavaliers,39,23,Saffron Lane Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XVI,Final,
,2002,Playoffs,2003-03-30,Stirling Clansmen,Hertfordshire Hurricanes,22,17,Crown Flatt Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XVII,Final,
,2003,Playoffs,2004-03-21,Hertfordshire Hurricanes,Staffordshire Stallions,27,6,Crown Flatt Stadium,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XVIII,Final,
,2004,Playoffs,2005-03-20,Birmingham Lions,Glasgow Tigers,34,7,Butts Park Arena,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XIX,Final,
,2005,Playoffs,2006-03-26,Southampton Stags,Teesside Cougars,79,8,Butts Park Arena,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XX,Final,
,2006,Playoffs,2007-03-25,UWE Bullets,Loughborough Aces,31,14,Butts Park Arena,,,,FALSE,day,,,completed,high,TRUE,FALSE,title,College Bowl XXI,Final,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,,,,,,,,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
