competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2015,National Championship,2016-02-27,Loughborough Students,Birmingham Lions,22,42,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Trophy,2016-02-28,Leeds Beckett Carnegie,Nottingham Trent Renegades,20,27,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-02-28,Royal Holloway Bears,Brighton Panthers,13,7,,,,,FALSE,day,,12:30,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-02-28,Kent Falcons,Surrey Stingers,0,27,,,,,FALSE,day,,12:30,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Championship,2016-02-28,Kingston Cougars,Durham Saints,12,32,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Trophy,2016-02-28,Sheffield Sabres,Glasgow Tigers,0,6,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Championship,2016-02-28,Bath Killer Bees,Stirling Clansmen,21,59,,,,,FALSE,day,,13:30,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Championship,2016-02-28,Derby Braves,Hertfordshire Hurricanes,0,0,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Trophy,2016-02-28,Nottingham Gold,UCLan Rams,25,22,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-02-28,Newcastle Raiders,Warwick Wolves,18,7,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-02-28,Sussex Saxons,Cardiff Cobras,6,26,,,,,FALSE,day,,16:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-02-28,UWE Bullets,Swansea Titans,3,24,,,,,FALSE,day,,19:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2015,National Trophy,2016-03-06,Cardiff Cobras,Swansea Titans,22,30,,,,,FALSE,day,,10:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Championship,2016-03-06,Hertfordshire Hurricanes,Stirling Clansmen,13,42,,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,National Trophy,2016-03-06,Royal Holloway Bears,Surrey Stingers,20,36,,,,,FALSE,day,,12:30,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,Northern Conference Cup,2016-03-06,Liverpool Raptors,Edinburgh Napier Knights,30,0,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,Southern Conference Cup,2016-03-06,Oxford Lancers,Greenwich Mariners,32,4,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,National Trophy,2016-03-06,Newcastle Raiders,Glasgow Tigers,7,29,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Trophy,2016-03-06,Nottingham Trent Renegades,Nottingham Gold,12,6,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2015,National Championship,2016-03-06,Durham Saints,Birmingham Lions,22,58,,,,,FALSE,day,,13:30,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,Northern Conference Cup,2016-03-06,Coventry University Jets,Manchester Tyrants,17,30,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,Southern Conference Cup,2016-03-06,Portsmouth Destroyers,Plymouth Blitz,38,3,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,Southern Conference Cup,2016-03-13,Oxford Lancers,Portsmouth Destroyers,15,19,,,,,FALSE,day,,13:00,completed,high,TRUE,TRUE,Bowl,Southern Conference Cup,Final,
BUAFL,2015,National Trophy,2016-03-13,Surrey Stingers,Swansea Titans,9,44,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,National Trophy,2016-03-13,Nottingham Trent Renegades,Glasgow Tigers,15,9,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2015,Northern Conference Cup,2016-03-13,Manchester Tyrants,Liverpool Raptors,28,40,,,,,FALSE,day,,14:30,completed,high,TRUE,TRUE,Bowl,Northern Conference Cup,Final,
BUAFL,2015,National Championship,2016-03-20,Birmingham Lions,Stirling Clansmen,19,13,John Charles Centre,,,,FALSE,day,,12:00,completed,high,TRUE,TRUE,Title,College Bowl XXX,Final,
BUAFL,2015,National Trophy,2016-03-20,Swansea Titans,Nottingham Trent Renegades,21,16,,,,,FALSE,day,,,completed,high,TRUE,TRUE,Bowl,National Trophy,Final,
