name,location,founded_year,folded_year,notes,team_type
Anglia Ruskin Phantoms,Cambridge,,,,University
Bath Killer Bees,Bath,,,,University
Birmingham Lions,Birmingham,,,,University
BNU Buccaneers,Wycombe,,,,University
UWE Bullets,Bristol,,,,University
Brunel Burners,London,,,,University
Cambridge Pythons,Cambridge,,,,University
Canterbury Chargers,Canterbury,,,,University
Chichester Spitfires,Chichester,,,,University
City Wolfpack,London,,,,University
Essex Blades,Colchester,,,,University
Greenwich Mariners,London,,,,University
Hertfordshire Hurricanes,Hatfield,,,,University
Imperial Immortals,London,,,,University
Kent Falcons,Canterbury,,,,University
KCL Regents,London,,,,University
Kingston Cougars,London,,,,University
LSBU Spartans,London,,,,University
OBU Panthers,Oxford,,,,University
Oxford Cavaliers,Oxford,,,,University
Oxford Lancers,Oxford,,,,University
Plymouth Blitz,Plymouth,,,,University
Portsmouth Destroyers,Portsmouth,,,,University
Reading Knights,Reading,,,,University
Royal Holloway Bears,Egham,,,,University
Solent Redhawks,Southampton,,,,University
Southampton Stags,Southamptpon,,,,University
Surrey Stingers,Guildford,,,,University
Sussex Saxons,Brighton,,,,University
UCL Emperors,London,,,,University
UEA Pirates,Norwich,,,,University
Warwick Wolves,Warwick,,,,University
Westminster Dragons,London,,,,University
Winchester Silverbacks,Winchester,,,,University
