competition,year,phase,parent_phase,away_phase,away_parent_phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round
BUAFL,2014,National Trophy,,,,2015-03-09,Brunel Burners,Glasgow Tigers,19,42,,,,,false,day,,12:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Loughborough Students,Durham Saints,12,24,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Derby Braves,Imperial Immortals,12,14,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Kingston Cougars,Bath Killer Bees,17,34,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Cambridge Pythons,Birmingham Lions,0,55,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Sheffield Hallam Warriors,Stirling Clansmen,0,38,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,Exeter Demons,Nottingham Trent Renegades,29,28,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,UEA Pirates,Royal Holloway Bears,14,23,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,Newcastle Raiders,Swansea Titans,34,54,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,UWE Bullets,Hertfordshire Hurricanes,14,17,,,,,false,day,,14:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Southampton Stags,Sheffield Sabres,6,14,,,,,false,day,,14:00,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,Nottingham Gold,Leeds Beckett Carnegie,6,30,,,,,false,day,,15:00,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,UCLan Rams,Portsmouth Destroyers,26,8,,,,,false,day,,15:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-09,Sunderland Spartans,Brighton Tsunami,0,38,,,,,false,day,,,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,LJMU Fury,Hull Sharks,12,16,,,,,false,day,,,completed,high,true,false,,,
BUAFL,2014,National Trophy,,,,2015-03-09,Surrey Stingers,Kent Falcons,0,6,,,,,false,day,,,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-21,Stirling Clansmen,Hertfordshire Hurricanes,46,6,,,,,false,day,,14:30,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-08,Hertfordshire Hurricanes,Durham Saints,19,14,,,,,false,day,,13:00,completed,high,true,false,,,
BUAFL,2014,National Championship,,,,2015-03-08,Stirling Clansmen,Birmingham Lions,35,13,,,,,false,day,,13:00,completed,high,true,false,,,
