competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2018,Division 1 Southern,02/11/2018,Sussex Saxons,Brunel Burners,0,21,,"[Anomaly] HomePrimary=1A South, AwayPrimary=2A South",,,FALSE,day,,12:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Southern,02/11/2018,Brunel Burners,Sussex Saxons,21,0,,"[Anomaly] HomePrimary=2A South, AwayPrimary=1A South",,,FALSE,day,,12:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 South Eastern,02/11/2018,Greenwich Mariners,Anglia Ruskin Siege,0,7,,"[Anomaly] HomePrimary=2A South East, AwayPrimary=2A South",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 South Eastern,02/11/2018,Cambridge Pythons,Imperial Immortals,0,20,,"[Anomaly] HomePrimary=1A South East, AwayPrimary=2A South East",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 Borders,02/11/2018,UWS Pyros,Lancaster Bombers,1,0,,"[Anomaly] HomePrimary=2A North, AwayPrimary=2A Borders",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Premier North,02/11/2018,Stirling Clansmen,Loughborough Students,35,0,,"[Anomaly] HomePrimary=1A Midlands, AwayPrimary=Premier North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Midlands,02/11/2018,Nottingham Gold,Nottingham Trent Renegades,21,6,,"[Anomaly] HomePrimary=1A Midlands, AwayPrimary=Premier North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Midlands,02/11/2018,Warwick Wolves,Staffordshire Stallions,0,2,,"[Anomaly] HomePrimary=2A Midlands, AwayPrimary=1A Midlands",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Premier South,02/11/2018,Birmingham Lions,Bath Killer Bees,42,0,,"[Anomaly] HomePrimary=1A South West, AwayPrimary=Premier South",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 South Western,02/11/2018,Solent Redhawks,Exeter Demons,15,24,,"[Anomaly] HomePrimary=1A South West, AwayPrimary=2A South West",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Yorkshire & Lancashire,02/11/2018,Leeds Gryphons,Sheffield Sabres,14,36,,"[Anomaly] HomePrimary=1A Yorkshire & Lancashire, AwayPrimary=2A North",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 South Western,02/11/2018,Bournemouth University Bobcats,Southampton Stags,20,27,,"[Anomaly] HomePrimary=1A South West, AwayPrimary=2A South West",,,FALSE,day,,13:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 Midlands,02/11/2018,Huddersfield Hawks,Worcester Royals,14,13,,"[Anomaly] HomePrimary=2A South West, AwayPrimary=2A Midlands",,,FALSE,day,,13:30,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 2 Northern,02/11/2018,Tarannau Aberystwyth,Manchester Tyrants,0,50,,"[Anomaly] HomePrimary=1A Yorkshire & Lancashire, AwayPrimary=2A North",,,FALSE,day,,14:00,anomaly,high,FALSE,FALSE,,,,
BUAFL,2018,Division 1 Northern,02/11/2018,Hull Sharks,Sunderland Spartans,14,8,,"[Anomaly] HomePrimary=2A Borders, AwayPrimary=1A North",,,FALSE,day,,14:00,anomaly,high,FALSE,FALSE,,,,
