competition,year,phase,date,time,home_team,home_score,away_score,away_team,venue
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-04-06,14:00,"Clyde Valley Blackhawks","0","32","Glasgow Tigers",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-06,14:00,"Chester Romans","0","27","Yorkshire Rams",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-06,14:00,"Sheffield Giants","13","23","Merseyside Nighthawks",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-06,14:00,"London Blitz B","0","7","Berkshire Renegades",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-06,14:00,"Bournemouth Bobcats","26","0","Somerset Wyverns",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-04-06,14:00,"Darlington Steam","46","35","Gateshead Senators",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-04-06,14:00,"Humber Warhawks","48","22","Wakefield District Raiders",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-06,14:00,"Leigh Miners","0","48","Leicester Panthers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-04-06,14:00,"Norwich Devils","6","21","Ipswich Cardinals",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-04-06,14:00,"Plymouth Vanguard","41","12","Cornwall Monarchs",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-04-06,14:00,"Swindon Storm","7","14","Hereford Stampede",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-04-13,12:00,"Nottingham Caesars","6","10","Newcastle Vikings",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-04-13,13:00,"East Kilbride Pirates","18","16","Coventry Phoenix",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-13,14:00,"Cambridgeshire Cats","0","46","Bristol Aztecs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-13,14:00,"London Blitz","51","0","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-13,15:00,"Rushmoor Knights","0","50","London Warriors",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-04-13,14:00,"Aberdeen Roughnecks","28","27","Inverclyde Goliaths",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-13,14:00,"Scunthorpe Alphas","20","21","Yorkshire Rams",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-04-13,14:00,"Birmingham Bulls","0","31","Northants Knights",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-04-13,14:00,"Sandwell Steelers","23","7","Staffordshire Surge",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-04-13,14:00,"East Kent Mavericks","6","7","London Olympians",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-13,14:00,"Sussex Thunder","0","52","Wembley Stallions",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-13,14:00,"Somerset Wyverns","0","48","Bristol Apache",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-04-13,14:00,"Humber Warhawks","58","7","Darlington Steam",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-04-13,14:00,"Wakefield District Raiders","43","20","Doncaster Mustangs",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-13,14:00,"Lincolnshire Bombers","0","20","Lancashire Buccaneers",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-04-20,15:30,"East Kilbride Pirates","31","12","Nottingham Caesars",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-20,14:00,"London Blitz","42","0","Cambridgeshire Cats",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-20,15:00,"Rushmoor Knights","0","62","Bristol Aztecs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-04-20,14:00,"Glasgow Tigers","67","21","Inverclyde Goliaths",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-20,14:00,"Chester Romans","0","31","Scunthorpe Alphas",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-04-20,12:00,"Shropshire Revolution","17","15","Birmingham Bulls",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-20,14:00,"Berkshire Renegades","6","20","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-20,14:00,"London Blitz B","6","35","Wembley Stallions",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-20,14:00,"Solent Thrashers","48","20","Bristol Apache",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-20,14:00,"South Wales Warriors","8","0","Bournemouth Bobcats",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-04-20,14:00,"Gateshead Senators","54","17","Doncaster Mustangs",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-20,14:00,"Leicester Panthers","43","0","Lincolnshire Bombers",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-20,14:00,"Leigh Miners","14","48","Lancashire Buccaneers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-04-20,14:00,"Norwich Devils","14","30","Ouse Valley Eagles",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-04-20,14:00,"Plymouth Vanguard","13","14","Swindon Storm",""
"BAFA National Leagues","2025","",2025-04-26,17:00,"Newcastle Vikings","10","17","Coventry Phoenix",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-04-27,14:00,"Cambridgeshire Cats","6","58","London Warriors",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-04-27,14:00,"Rossendale Bucks","20","26","Clyde Valley Blackhawks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-27,14:00,"Merseyside Nighthawks","33","10","Sheffield Giants",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-04-27,14:00,"Yorkshire Rams","40","0","Chester Romans",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-04-27,14:00,"Birmingham Bulls","14","29","Staffordshire Surge",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-04-27,14:00,"Sandwell Steelers","18","0","Shropshire Revolution",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-04-27,14:00,"Colchester Gladiators","3","12","London Olympians",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-04-27,14:00,"Essex Tridents","9","12","Kent Exiles",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-27,14:00,"London Blitz B","27","14","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-27,14:00,"Sussex Thunder","14","6","Berkshire Renegades",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-27,14:00,"Somerset Wyverns","0","39","South Wales Warriors",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-27,14:00,"Lincolnshire Bombers","3","34","Leicester Panthers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-04-27,14:00,"Oxford Saints","24","9","Ipswich Cardinals",""
"BAFA National Leagues","2025","",2025-05-03,16:00,"Nottingham Caesars","28","12","East Kilbride Pirates",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-05-04,15:00,"Coventry Phoenix","9","7","Manchester Titans",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-04,14:00,"London Warriors","24","13","Bristol Aztecs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-04,14:30,"Rushmoor Knights","14","9","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-05-04,14:00,"Clyde Valley Blackhawks","6","23","Inverclyde Goliaths",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-04,14:00,"Yorkshire Rams","32","21","Scunthorpe Alphas",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-04,15:30,"Northants Knights","20","3","Staffordshire Surge",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-04,14:00,"East Kent Mavericks","31","16","Colchester Gladiators",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-04,14:00,"Kent Exiles","12","15","London Olympians",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-04,13:00,"South Wales Warriors","18","17","Solent Thrashers",""
